"transaction_id";"customer_id";"transaction_amount_usd";"velocity_1h";"velocity_24h";"geo_distance_km";"device_risk_score";"merchant_risk_score";"synthetic_identity_score";"high_amount_flag";"velocity_flag";"geo_risk_flag";"fraud_label"
"T9028450";"C100000";70.46;1;2;3.0;0.747;0.554;0.084;0;0;0;0
"T9003425";"C100006";40.15;1;3;22.5;0.329;0.365;0.279;0;0;0;0
"T9038500";"C100007";43.65;1;2;73.6;0.404;0.148;0.409;0;0;0;0
"T9005360";"C100008";19.0;0;1;3908.4;0.287;0.519;0.249;0;0;1;0
"T9000144";"C100011";31.15;1;7;4008.5;0.105;0.203;0.413;0;0;1;0
"T9062457";"C100012";61.46;0;2;5.4;0.389;0.071;0.022;0;0;0;0
"T9038883";"C100013";32.12;3;6;36.6;0.432;0.578;0.061;0;0;0;0
"T9016274";"C100014";91.28;2;6;6.8;0.443;0.302;0.154;0;0;0;0
"T9045405";"C100015";17.89;0;1;4.3;0.23;0.109;0.15;0;0;0;0
"T9023000";"C100017";129.62;1;1;3.4;0.434;0.209;0.068;0;0;0;0
"T9029944";"C100018";12.16;1;3;14.6;0.429;0.637;0.09;0;0;0;0
"T9031425";"C100019";25.57;1;1;932.2;0.378;0.218;0.138;0;0;1;0
"T9023503";"C100020";186.41;1;3;8.7;0.55;0.101;0.022;0;0;0;0
"T9040236";"C100022";34.28;1;3;9.1;0.292;0.136;0.076;0;0;0;0
"T9000902";"C100023";51.06;3;5;11.7;0.282;0.117;0.476;0;0;0;1
"T9057026";"C100024";275.64;1;4;554.0;0.146;0.19;0.123;0;0;1;0
"T9057215";"C100025";62.88;1;5;16.9;0.18;0.304;0.293;0;0;0;0
"T9034676";"C100026";232.49;0;3;36.6;0.177;0.137;0.308;0;0;0;0
"T9037350";"C100027";341.83;0;1;1377.5;0.493;0.388;0.113;0;0;1;0
"T9063326";"C100029";184.4;1;1;32.8;0.219;0.058;0.084;0;0;0;0
"T9049802";"C100030";20.67;2;4;178.1;0.165;0.069;0.13;0;0;0;0
"T9013983";"C100031";41.16;1;4;19.1;0.103;0.228;0.128;0;0;0;0
"T9009128";"C100032";129.16;1;3;5.2;0.505;0.398;0.242;0;0;0;0
"T9004859";"C100033";17.55;1;6;851.6;0.313;0.012;0.098;0;0;1;0
"T9052765";"C100035";45.46;1;3;2286.3;0.287;0.188;0.225;0;0;1;0
"T9013337";"C100037";72.64;0;1;1596.1;0.178;0.475;0.107;0;0;1;0
"T9001422";"C100039";272.41;2;3;66.7;0.527;0.374;0.159;0;0;0;1
"T9027309";"C100041";12.51;1;3;10.8;0.215;0.479;0.262;0;0;0;0
"T9026640";"C100042";61.07;1;3;17.3;0.106;0.23;0.593;0;0;0;0
"T9049490";"C100043";35.85;1;6;2860.9;0.161;0.44;0.609;0;0;1;0
"T9050079";"C100044";12.66;0;4;26.6;0.407;0.074;0.175;0;0;0;0
"T9059346";"C100045";64.85;2;4;61.7;0.637;0.364;0.103;0;0;0;0
"T9061627";"C100047";689.81;0;2;72.9;0.173;0.075;0.446;0;0;0;0
"T9012235";"C100048";55.51;0;0;7.6;0.352;0.271;0.275;0;0;0;0
"T9054492";"C100049";21.29;2;7;1.3;0.281;0.07;0.163;0;0;0;0
"T9022602";"C100050";96.85;1;4;0.1;0.303;0.299;0.133;0;0;0;0
"T9058682";"C100051";28.4;2;3;44.7;0.176;0.148;0.269;0;0;0;0
"T9034021";"C100052";61.77;0;9;14.2;0.285;0.176;0.295;0;0;0;0
